18,394752
18,373767
18,615811
18,478247
18,261652
18,405149
18,709412
18,368119
18,459596
18,373278
18,225086
18,222905
19,001143
18,172187
18,101505
18,276109
18,078856
18,280192
18,458335
18,188649
18,374540
18,392918
18,964800
18,171825
18,216093
18,123066
18,343044
18,162740
18,413807
18,835257
18,974110
18,784890
18,665074
18,199402
18,758958
18,223847
18,692959
18,698499
18,955697
18,231653
18,324662
18,242582
18,217192
18,793025
18,208105
18,474084
18,484847
18,344291
18,382436
17,832569
18,491311
18,392539
18,740694
18,195115
18,702487
18,925084
18,180482
18,395268
18,233866
18,770349
18,707516
18,369093
18,082243
18,223771
18,534760
18,475121
18,687606
19,143579
18,502833
18,123033
18,974687
18,315466
18,217716
18,560985
18,274016
18,171734
18,361263
18,658953
18,308717
18,625592
18,757014
18,255272
18,580830
18,427832
18,550934
18,434529
18,360763
18,441325
19,010647
18,176009
18,280918
18,107560
18,563475
18,407603
18,283784
18,668238
18,746973
18,559003
18,669011
19,029929
18,394
18,373
18,615
18,478
18,261
18,405
18,709
18,368
18,459
18,373
18,225
18,222
19,001
18,172
18,101
18,276
18,078
18,280
18,458
18,188
18,374
18,392
18,964
18,171
18,216
18,123
18,343
18,162
18,413
18,835
18,974
18,784
18,665
18,199
18,758
18,223
18,692
18,698
18,955
18,231
18,324
18,242
18,217
18,793
18,208
18,474
18,484
18,344
18,382
17,832
18,491
18,392
18,740
18,195
18,702
18,925
18,180
18,395
18,233
18,770
18,707
18,369
18,082
18,223
18,534
18,475
18,687
19,143
18,502
18,123
18,974
18,315
18,217
18,560
18,274
18,171
18,361
18,658
18,308
18,625
18,757
18,255
18,580
18,427
18,550
18,434
18,360
18,441
19,010
18,176
18,280
18,107
18,563
18,407
18,283
18,668
18,746
18,559
18,669
19,029
